Selector,Traffic,Region
workspace.google.com/marketplace/app/wappalyzer/462079435928?hl=pt,51,br
workspace.google.com/marketplace/app/phone_number_locator_reverse_lookup/995542167527,602,ca
workspace.google.com/marketplace/app/merge_pdf_files/283426173620,143,ca
workspace.google.com/marketplace/app/docusign_esignature_for_google_workspace/469176070494,198,ca
workspace.google.com/marketplace/app/gpt_for_sheets_and_docs/677318054654,542,ca
workspace.google.com/marketplace/app/qr_code_generator/771094986501,362,ca
workspace.google.com/marketplace/app/slidesaiio_create_slides_with_ai/904276957168,263,ca
workspace.google.com/marketplace/app/temporary_disposable_email_service/962772827669,337,ca
workspace.google.com/marketplace/app/faxplus_online_fax_service/657386331374,39,ca
workspace.google.com/marketplace/app/ai_detector_ai_checker/273593096182,41,ca
workspace.google.com/marketplace/app/winner_spinner_wheel/550296486392,40,ca
workspace.google.com/marketplace/app/mybib/154836275460,23,ca
workspace.google.com/marketplace/app/photopea/463342976776,296,ca
workspace.google.com/marketplace/app/drawio/224440279306,10,ca
workspace.google.com/marketplace/app/collaborative_whiteboard/657959631782,393,ca
workspace.google.com/marketplace/app/miro/1062019541050,367,ca
workspace.google.com/marketplace/app/document_translator_translate_pdf_pptsli/151510329810,366,ca
workspace.google.com/marketplace/app/sketchup_for_schools/260457348581,356,ca
workspace.google.com/marketplace/app/free_clip_art/232524892292,326,ca
workspace.google.com/marketplace/app/screenplay_formatter/329481250452,296,ca
workspace.google.com/marketplace/app/pdf_viewer/619241882594,289,ca
workspace.google.com/marketplace/app/dochub_pdf_sign_and_edit/1179802238,285,ca
workspace.google.com/marketplace/app/microsoft_teams_meeting/961264221134,283,ca
workspace.google.com/marketplace/app/currency_converter/962968609488,281,ca
workspace.google.com/marketplace/app/hellosign/434481440707,280,ca
workspace.google.com/marketplace/app/kahoot_for_google_meet/77335967938,279,ca
workspace.google.com/marketplace/app/create_print_labels_label_maker_for_aver/585829216542,276,ca
workspace.google.com/marketplace/app/wave_connect/90421189176,260,ca
workspace.google.com/marketplace/app/code_blocks/100740430168,256,ca
workspace.google.com/marketplace/app/mindmap/1050079651832,256,ca
workspace.google.com/marketplace/app/slido_for_google_slides/240609050747,251,ca
workspace.google.com/marketplace/app/gusto/416608718644,247,ca
workspace.google.com/marketplace/app/form_builder_for_docs/725512574241,244,ca
workspace.google.com/marketplace/app/nearpod_for_google_classroom/28288372596,239,ca
workspace.google.com/marketplace/app/form_builder/133781775166,234,ca
workspace.google.com/marketplace/app/insert_icons_for_slides_👌/96201000411,222,ca
workspace.google.com/marketplace/app/lucidchart/7081045131,219,ca
workspace.google.com/marketplace/app/cloudconvert/199590644126,218,ca
workspace.google.com/marketplace/app/autocrat/539341275670,213,ca
workspace.google.com/marketplace/app/plus_ai_for_google_slides_and_docs/214277172452,211,ca
workspace.google.com/marketplace/app/pdf_to_word_converter_doc/751290108609,209,ca
workspace.google.com/marketplace/app/qr_code_generator/283497561682,202,ca
workspace.google.com/marketplace/app/quillbot_paraphrasing_and_summarizing_to/305988918037,182,ca
workspace.google.com/marketplace/app/pdf_to_docs/28755135712,168,ca
workspace.google.com/marketplace/app/icons_for_google_slides_google_docs/381578326502,164,ca
